index,source_id,source_path,file_type,document_char_count,document_word_count,chunk_count,avg_chunk_words,max_chunk_words,min_chunk_words,status
104,1dkwoikwurceJpWDfJpudWe0uuAP6lrXhRbTB1tWJlW8,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Testing Meeting 10/24/24,txt,1623,200,1,200.0,200,200,ok
105,1LlindZ_88kzxx8xwcIGxaQifPynl9iTwFD99TP3HliY,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Testing Meeting 11/5/24 + End Semester Schedule,txt,5447,888,1,893.0,893,893,ok
106,1dtmKnRQnTRUS8fR5S1S9WB1ztLjgVCbXta_78Emuk_4,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Testing Meeting Notes 11/14/24 ,txt,1273,198,1,198.0,198,198,ok
107,1mndiPHtDO_G1DuCK1ZcVfN5xRlIDnr55E8CVDjcSN0k,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Fall 2024 Wish List,txt,49,3,1,3.0,3,3,ok
108,1t-g3RrqZJcAZCEJKQo6RhqKMxU38SA_Bs5U_Z7sIP34,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Testing Meeting 10/31/24,txt,1767,274,1,274.0,274,274,ok
109,1M4XEfLNvKfjtMKfzTmFsMnCrGrXZcZy736acUnGiuoM,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Testing Meeting 9/26/24,txt,2300,387,1,387.0,387,387,ok
110,1pZ5SNXzFZpvwENjLSum4xTr2yN6WlwIcCqRyxJaatOg,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Fall 2024 Meetings/Testing Meeting 9/3/24,txt,1523,245,1,245.0,245,245,ok
111,1HmkX6qDba-zrpTBQR4O0-WApi791Sodfi7XJ3dhsE5k,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Pumps Testing Meeting/Testing Meeting 5/18/2023,txt,917,169,1,169.0,169,169,ok
112,1ssCIk7tF0Qjnw5mWdlWF-zJugxpVaX7hrqI7M7sUs0A,Technical Teams/Fluids and Internal Structures/Archive/Meetings/Pumps Testing Meeting/Testing Presentation,pdf,1078,193,1,193.0,193,193,ok
113,1lXd6EuMaAbKWNx66Slyl3BG2YvU6BcOn,Technical Teams/Fluids and Internal Structures/Fall 2025 Folder/FAR/FAR-0005_TestStandDimensions.pdf,pdf,69,11,1,11.0,11,11,ok
114,1iI4GnBywgw7XM4BzEsW_LHmh-5aNGTGFHD2KgJ1bi0Q,Technical Teams/Fluids and Internal Structures/Fall 2025 Folder/Onboarding/FIS General Slides,pdf,8097,1284,2,664.5,785,544,ok
115,1RtArLo26hj0QZ0O0dxTAvUu1qCI7OV3je7pmjpTAb6Y,Technical Teams/Fluids and Internal Structures/FIS Structures/Structures IDR Notes,txt,334,59,1,59.0,59,59,ok
116,14UVtAz00GS6QYLp2Hx9GVMd67YmwIKOF,Technical Teams/Fluids and Internal Structures/FIS Structures/MathCAD/MathCAD Tank Deformation Analysis.pdf,pdf,2041,273,1,273.0,273,273,ok
117,1MQB25OPkAVecCbS86VYlvYzA9DzBvumt,Technical Teams/Fluids and Internal Structures/FIS Structures/MathCAD/MathCAD Beam Analysis.pdf,pdf,2995,388,1,388.0,388,388,ok
