index,source_id,source_path,local_path,extension,status,char_count,word_count,error
78,14uibNZDiHni4AV-U5ggbFeglDa9i4jtmFcrABl_FItk,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/2015 ASME boiler and pressure vessel code,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/2015 ASME boiler and pressure vessel code.txt,.txt,ok,326880,69769,
79,12zqt9rbH-P3bcFrrJn2aNmyw_a_0exw978Ziaba5hok,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/ASTM-G93-03-2011-,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/ASTM-G93-03-2011-.txt,.txt,ok,63623,9320,
80,1ANfNY78xJ0n6mZJj5Z-VMbGOoAEPl65RdYkgkIosFfk,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/What is ASME,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/What is ASME.txt,.txt,ok,4511,714,
81,14JfgsVJhPUODN_Un0UNK5YsuNp6s15tZyuJakWN7DGI,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/Rocket Propulsion Elements,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Rocket Propulsion Elements.txt,.txt,ok,148975,23304,
82,1OhJGknNs-GZSBGMHk1Tt0EXWB53TFGQQ,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/LIT-UK-L-Cryogenic.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/LIT-UK-L-Cryogenic.pdf,.pdf,ok,83110,12979,
83,1iPLa2Uwg1TKR8_u3_O4OqbG7YID7cxd9,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/Flow_of_Fluids_Through_Valve_Fittings_an.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Flow_of_Fluids_Through_Valve_Fittings_an.pdf,.pdf,skipped_empty,0,0,
84,18rveqcIiIffGsU7RaxFA7wuCnS0eoia8,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/Rocket Propulsion Elements.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Rocket Propulsion Elements.pdf,.pdf,ok,1899366,258503,
85,1PXF9bw5s2nd0cIpyrNB5sbeXrKSLD_W3,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/NASA NSS-1740.15.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/NASA NSS-1740.15.pdf,.pdf,ok,411894,62783,
86,1M8QL3y7h0l84prWdKXYKk2LhxVHuKxfc,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/s_0014w_qa_supplier_requirements_for_oxygen_cleaning.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/s_0014w_qa_supplier_requirements_for_oxygen_cleaning.pdf,.pdf,ok,12374,1736,
87,1jGx_8Epn3AZJnt-NNVJccme9FCmEITG9,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/cga.g-4.1.commentary.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/cga.g-4.1.commentary.pdf,.pdf,ok,3099,490,
88,1izQqTwj1vk-maJnF7spoi1iaWfa_RK0B,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/Cleaning_of_Equipment_for_Oxygen_Service.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Cleaning_of_Equipment_for_Oxygen_Service.pdf,.pdf,ok,159448,23227,
89,1GjGKegXeZ1Wo5XYgklePNpjDVpoY69DH,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/OxygenCleaningProcedure.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/OxygenCleaningProcedure.pdf,.pdf,skipped_empty,0,0,
90,1LM2rBRwmwciPmh5u5jjCFUMVKTVeT1fv,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/ASTM-G93-03-2011-.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/ASTM-G93-03-2011-.pdf,.pdf,ok,64391,10475,
91,1i8Tj7FiPAIi6EHv7mniieAW0vM1tY02M,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/ASME B31.5-2022.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/ASME B31.5-2022.pdf,.pdf,skipped_empty,0,0,
92,1b3RGyBRB0QkWqNxlTGXFfmDjDsqDzT04,Technical Teams/Fluids and Internal Structures/Archive/ASME/Resources/asme-b313-ed2018_compress.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/asme-b313-ed2018_compress.pdf,.pdf,ok,2251276,483386,
93,1NLNdoQBX-SJhdnM-_OPWX39Xj1YOWvsH,Technical Teams/Fluids and Internal Structures/Archive/Inventory/Purchases/1_2_US_Solid_Solenoid_order2_ebay.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/1_2_US_Solid_Solenoid_order2_ebay.pdf,.pdf,ok,630,96,
94,1P2hrQJ90KUUeiW3WpIktNrjIY36NkSll,Technical Teams/Fluids and Internal Structures/Archive/Inventory/Purchases/1_2_US_Solid_Solenoid_order1_ebay.pdf,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/1_2_US_Solid_Solenoid_order1_ebay.pdf,.pdf,ok,627,96,
